"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","label"
0,0.987012987012987,0.51,1,1,0.96,0.72,0.59,0.56,0.16,0.41,0,0.24,0.39,0.81,0.5,0
0.05,0.922077922077922,0.66,1,1,0.76,0.98,0.49,0.71,0.22,0.34,0,0,0.25,0.78,0.37,0
0,0.935064935064935,0.62,1,0.96,0.71,0.58,0.36,0.31,0,1,0.2,0.94,0.38,0.01,0.42,0
0,0.883116883116883,0.07,0.98,0.47,1,0.85,0.94,1,0.72,0.85,0.47,0.66,0.24,0.52,0,0
0,0.909090909090909,0.45,1,0.74,0.75,0.57,0.37,0.35,0,0.25,0.24,0.53,0.41,1,0.37,0
0,0.753246753246753,0.07,0.96,0.58,1,1,1,0.89,0.75,0.77,0.5,0.67,0.25,0.56,0,0
0.22,0.831168831168831,0,0.71,0.21,0.98,1,1,0.97,0.83,0.76,0.53,0.58,0.22,0.36,0,0
0,0.883116883116883,0.25,1,0.95,0.87,1,0.56,0.71,0.27,0.39,0,0.08,0.29,0.72,0.38,0
0,0.909090909090909,0.44,1,0.79,0.72,0.76,0.35,0.53,0,0.29,0.02,0.43,0.28,1,0.32,0
0.08,1,0.67,0.99,0.72,0.65,0.55,0.31,0.32,0,0,0.26,0.36,0.47,1,0.52,0
0,0.909090909090909,0.49,1,1,0.95,0.99,0.6,0.79,0.25,0.58,0,0.44,0.36,0.9,0.4,0
0.02,0.662337662337662,0.05,0.95,0.7,1,1,0.89,0.66,0.67,0.31,0.45,0,0.22,0.02,0,0
0.04,0.961038961038961,0.81,1,1,0.67,0.66,0.33,0.3,0,0,0.09,0,0.36,0.82,0.35,0
0,0.714285714285714,0.36,1,0.68,0.72,0.7,0.35,0.56,0,0.27,0.21,0.39,0.5,1,0.57,0
0.29,1,0.92,0.94,1,0.68,0.78,0.41,0.55,0.13,0.29,0,0,0.26,0.63,0.32,0
0,0.922077922077922,0.59,1,0.86,0.75,0.72,0.37,0.61,0,0.37,0.1,0.28,0.33,1,0.35,0
0,0.974025974025974,0.42,1,0.65,0.64,0.47,0.23,0.21,0,0.03,0.4,0.51,0.46,1,0.49,0
0,0.675324675324675,0.38,1,0.9,0.9,0.9,0.48,0.76,0.06,0.55,0,0.48,0.43,1,0.55,0
0,0.753246753246753,0.38,1,0.71,0.82,0.54,0.41,0.33,0,0.26,0.14,0.43,0.46,1,0.55,0
0.01,0.948051948051948,0,0.75,0.23,0.98,0.86,1,1,0.9,0.75,0.56,0.57,0.19,0.54,0,0
0.02,1,0.53,0.99,0.63,0.66,0.42,0.33,0.18,0,0,0.22,0.38,0.37,1,0.41,0
0,0.974025974025974,0.8,1,1,0.68,0.87,0.33,0.59,0,0.19,0.16,0.1,0.43,0.93,0.49,0
0,0.857142857142857,0.5,1,1,0.89,0.77,0.53,0.53,0.16,0.55,0,0.2,0.29,0.82,0.39,0
0,0.922077922077922,0.53,1,0.94,0.77,0.79,0.37,0.53,0,0.37,0.01,0.5,0.4,1,0.57,0
0.05,0.922077922077922,0,0.76,0.17,1,0.78,0.98,1,0.91,0.84,0.57,0.72,0.23,0.65,0,0
0,0.714285714285714,0.54,1,1,0.81,0.78,0.43,0.49,0.08,0.35,0,0.32,0.38,0.95,0.49,0
0,0.935064935064935,0.53,1,1,0.86,0.98,0.51,0.8,0.18,0.55,0,0.33,0.31,0.87,0.34,0
0.4,0.909090909090909,0,0.99,0.5,1,1,0.99,0.82,0.88,0.64,0.6,0.55,0.3,0.55,0,0
0.26,1,0.85,0.99,0.89,0.65,0.59,0.31,0.37,0,0,0.31,0.23,0.48,1,0.49,0
0,0.883116883116883,0.45,1,0.87,0.92,0.61,0.45,0.3,0,0.22,0.04,0.4,0.39,1,0.38,0
0,0.948051948051948,0.21,0.97,0.79,1,1,0.98,0.67,0.76,0.48,0.5,0.33,0.23,0.31,0,0
0,0.883116883116883,0.51,0.96,0.88,1,0.67,0.55,0.64,0.07,0.47,0,0.48,0.19,1,0.24,0
0,0.922077922077922,0.35,1,0.6,0.71,0.55,0.29,0.49,0,0.29,0.39,0.5,0.57,1,0.57,0
0,0.948051948051948,0.59,1,1,0.74,0.95,0.36,0.75,0,0.97,0.07,0.97,0.28,0.34,0.3,0
0.41,0.948051948051948,0.99,1,1,0.74,0.58,0.38,0.28,0,0.07,0.16,0,0.45,0.8,0.34,0
0.49,0.883116883116883,0.98,1,0.96,0.66,0.59,0.32,0.17,0,0,0.16,0.38,0.4,1,0.48,0
0,1,0.85,0.97,1,0.69,0.65,0.38,0.28,0.07,0.13,0,0.13,0.34,0.92,0.41,0
0.1,0.623376623376623,0.57,1,0.91,0.76,0.65,0.37,0.3,0,0,0.11,0.3,0.31,1,0.33,0
0.07,0.922077922077922,0.57,1,0.56,0.62,0.41,0.25,0.3,0,0,0.33,0.41,0.39,1,0.38,0
0.02,0.883116883116883,0.8,1,0.82,0.67,0.57,0.33,0.28,0,0,0.17,0.13,0.4,1,0.44,0
0,0.87012987012987,0.53,1,0.86,0.75,0.75,0.38,0.66,0,0.93,0.04,1,0.33,0.42,0.4,0
0,0.844155844155844,0.37,1,0.59,0.63,0.57,0.17,0.44,0,0.17,0.37,0.55,0.49,1,0.5,0
0,0.805194805194805,0.5,1,0.88,0.73,0.66,0.35,0.29,0,0.05,0.05,0.41,0.38,1,0.52,0
0,0.74025974025974,0.24,1,0.46,0.69,0.47,0.3,0.47,0,0.19,0.3,0.58,0.36,1,0.38,0
0,0.948051948051948,0.45,1,1,0.99,0.79,0.83,0.6,0.63,0.45,0.42,0.36,0.21,0.33,0,0
0,0.831168831168831,0.41,1,0.79,0.83,0.6,0.43,0.5,0.02,0.49,0,0.4,0.32,1,0.36,0
0,0.805194805194805,0.34,1,1,0.94,0.82,0.45,0.49,0,0.11,0.03,0.29,0.31,0.96,0.31,0
0,1,0.39,1,0.52,0.67,0.5,0.32,0.41,0,0.21,0.32,0.55,0.43,1,0.45,0
0,0.831168831168831,0.55,1,1,0.81,0.74,0.41,0.49,0,0.2,0.1,0.32,0.32,0.99,0.35,0
0,0.779220779220779,0.37,0.99,0.81,1,1,0.74,0.84,0.36,0.65,0,0.33,0.08,0.55,0.27,0
0,0.935064935064935,0.52,1,0.59,0.75,0.5,0.37,0.54,0,0.19,0.05,0.43,0.27,1,0.37,0
0,0.831168831168831,0.31,1,0.59,0.74,0.57,0.33,0.44,0,0.27,0.37,0.57,0.47,1,0.49,0
0,0.935064935064935,0.44,1,0.74,0.82,0.65,0.41,0.57,0,0.42,0.11,0.55,0.31,1,0.32,0
0,0.896103896103896,0.33,1,0.97,0.83,0.82,0.41,0.59,0,1,0.09,0.82,0.37,0.07,0.45,0
0,0.987012987012987,0.71,1,1,0.77,0.72,0.48,0.53,0.18,0.4,0,0,0.27,0.66,0.33,0
0.14,0.532467532467532,0.18,1,1,0.95,0.84,0.67,0.5,0.28,0.3,0,0,0.39,0.72,0.42,0
0,0.766233766233766,0.35,1,0.78,0.74,0.71,0.36,0.48,0,0.27,0.16,0.34,0.4,1,0.42,0
0,0.844155844155844,0.35,1,0.73,0.97,0.98,0.69,0.91,0.26,0.68,0,0.62,0.14,1,0.12,0
0,0.844155844155844,0.25,1,1,0.81,0.89,0.48,0.55,0.15,0.26,0,0,0.31,0.98,0.37,0
0,0.779220779220779,0.35,1,0.71,0.91,0.63,0.46,0.57,0,0.4,0.17,0.6,0.34,1,0.34,0
0,0.883116883116883,0.46,1,0.85,0.8,0.91,0.4,0.88,0,0.99,0.22,1,0.52,0.5,0.49,0
0,0.974025974025974,0.6,1,0.94,0.82,0.69,0.42,0.5,0,0.26,0.05,0.18,0.31,1,0.28,0
0.1,0.818181818181818,0,0.97,0.5,0.99,1,1,0.79,0.78,0.63,0.53,0.5,0.26,0.47,0,0
0,0.844155844155844,0.45,1,0.81,0.79,0.8,0.43,0.72,0.07,0.58,0,0.47,0.23,1,0.24,0
0.06,0.935064935064935,0.53,1,0.72,0.68,0.63,0.33,0.43,0,0,0.2,0.43,0.4,1,0.48,0
0,0.883116883116883,0.44,1,0.79,0.74,0.64,0.37,0.53,0,0.27,0.23,0.4,0.38,1,0.39,0
0,0.948051948051948,0.77,1,1,0.84,0.67,0.46,0.47,0.05,0.33,0,0.1,0.34,0.88,0.39,0
0,0.818181818181818,0.31,1,0.65,0.78,0.59,0.36,0.44,0,0.21,0.37,0.54,0.46,1,0.55,0
0,0.922077922077922,0.6,1,0.98,0.75,0.93,0.4,0.76,0.06,0.48,0,0.34,0.23,1,0.24,0
0,0.857142857142857,0.78,1,1,0.82,0.66,0.45,0.58,0.05,0.33,0,0.12,0.26,0.98,0.36,0
0,0.948051948051948,0.37,1,1,0.89,0.86,0.43,0.55,0,0.3,0,0.1,0.38,0.75,0.41,0
0,0.987012987012987,0.36,1,0.93,0.97,1,0.64,0.83,0.32,0.61,0,0.28,0.28,0.76,0.4,0
0,0.883116883116883,0.35,1,1,0.97,0.81,0.63,0.44,0.32,0.08,0,0.09,0.14,0.49,0.29,0
0,0.909090909090909,0.43,0.99,0.92,1,0.68,0.52,0.64,0,0.47,0,0.4,0.36,1,0.42,0
0,0.909090909090909,0.5,1,0.9,0.82,0.73,0.41,0.56,0,0.29,0.2,0.47,0.34,1,0.32,0
0.08,0.896103896103896,0.67,1,0.87,0.82,0.62,0.4,0.31,0,0,0.14,0.38,0.3,1,0.27,0
0,0.987012987012987,0.4,1,0.66,0.66,0.58,0.24,0.38,0,0.11,0.37,0.42,0.51,1,0.53,0
0,1,0.56,0.97,0.82,0.65,0.74,0.31,0.39,0,0.03,0.05,0.23,0.34,1,0.43,0
0,1,0.17,0.94,0.71,0.87,0.51,0.49,0.32,0.11,0.08,0,0.24,0.22,1,0.35,0
0.12,0.909090909090909,0,0.97,0.57,1,1,0.88,0.94,0.66,0.75,0.43,0.57,0.22,0.4,0,0
0,0.948051948051948,0.58,1,0.76,0.75,0.51,0.38,0.34,0,0,0.08,0.34,0.26,1,0.28,0
0,1,0.49,0.99,0.83,0.73,0.79,0.36,0.67,0,0.51,0.16,0.47,0.38,1,0.38,0
0.13,0.688311688311688,0.64,1,0.87,0.72,0.52,0.35,0.11,0,0,0.15,0.35,0.37,1,0.36,0
0.02,0.805194805194805,0.31,1,0.76,0.74,0.62,0.37,0.47,0,1,0.08,0.68,0.3,0,0.41,0
0,0.987012987012987,0.57,1,0.79,0.89,0.63,0.45,0.59,0,0.32,0.06,0.33,0.27,1,0.32,0
0,0.974025974025974,0.4,1,0.78,0.88,0.59,0.42,0.32,0,0.28,0.14,0.47,0.41,1,0.42,0
0,0.766233766233766,0.38,1,0.74,0.76,0.49,0.36,0.15,0,0.06,0.11,0.35,0.38,1,0.43,0
0,0.844155844155844,0.55,1,1,0.87,0.65,0.48,0.39,0.04,0.19,0,0.22,0.35,0.87,0.42,0
0,0.766233766233766,0.41,1,0.75,0.72,0.68,0.22,0.42,0,0.11,0.37,0.54,0.47,1,0.46,0
0,1,0.5,0.99,0.47,0.69,0.32,0.35,0.2,0,0.1,0.29,0.44,0.44,1,0.47,0
0,0.948051948051948,0.1,1,0.59,0.99,1,0.87,0.93,0.64,0.69,0.43,0.44,0.22,0.25,0,0
0,0.883116883116883,0.34,1,1,0.77,0.99,0.38,0.71,0,0.9,0.07,0.85,0.3,0,0.25,0
0,0.87012987012987,0.28,0.96,0.86,1,1,0.97,0.71,0.75,0.55,0.49,0.44,0.23,0.42,0,0
0,1,0.03,1,0.52,0.99,1,1,0.73,0.86,0.5,0.57,0.32,0.27,0.34,0,0
0,0.935064935064935,0.54,1,0.93,0.79,0.81,0.42,0.6,0.07,0.36,0,0.44,0.27,1,0.31,0
0,0.844155844155844,0.59,1,0.89,0.72,0.82,0.4,0.63,0.09,0.28,0,0.25,0.25,1,0.27,0
0.01,0.74025974025974,0,0.73,0.22,0.99,0.71,1,1,0.98,0.83,0.65,0.67,0.32,0.55,0,0
0,0.779220779220779,0.52,1,1,0.82,0.8,0.41,0.53,0,0.3,0.03,0.33,0.4,0.99,0.45,0
0.42,1,0.93,0.98,0.79,0.64,0.51,0.31,0.15,0,0,0.3,0.25,0.53,1,0.52,0
0.19,1,0.84,0.89,0.84,0.59,0.63,0.29,0.37,0,0,0.09,0.16,0.32,1,0.31,0
0,1,0.55,0.98,0.79,0.67,0.76,0.33,0.6,0,0,0.01,0.37,0.17,1,0.27,0
0,0.883116883116883,0.55,1,0.71,0.69,0.62,0.33,0.64,0,0.22,0.27,0.36,0.4,1,0.4,0
0.05,0.805194805194805,0.44,1,0.72,0.71,0.52,0.33,0.21,0,0,0.34,0.5,0.41,1,0.45,0
0.12,0.987012987012987,0.49,1,1,0.93,0.65,0.62,0.28,0.32,0,0,0.11,0.35,0.72,0.39,0
0,0.636363636363636,0.32,0.91,0.77,1,1,0.88,0.87,0.45,0.75,0,0.61,0.15,0.89,0.34,0
0,0.779220779220779,0.42,1,1,0.86,0.75,0.43,0.5,0,0.11,0.15,0.02,0.27,0.69,0.29,0
0,0.753246753246753,0.25,1,0.69,0.85,0.7,0.42,0.59,0,0.22,0.18,0.49,0.38,1,0.42,0
0.17,0.922077922077922,0,0.66,0.11,0.93,0.63,1,1,0.98,0.81,0.64,0.62,0.29,0.47,0,0
0.11,0.779220779220779,0.41,1,0.47,0.67,0.25,0.35,0.08,0,0,0.31,0.49,0.32,1,0.31,0
0,0.922077922077922,0.5,1,0.68,0.71,0.59,0.35,0.45,0,0.18,0.27,0.47,0.4,1,0.39,0
0,0.857142857142857,0.23,1,0.79,0.94,0.73,0.48,0.51,0.02,0.31,0,0.42,0.31,1,0.3,0
0,0.831168831168831,0.26,1,0.95,0.82,0.88,0.41,0.63,0,0.27,0.11,0.15,0.4,1,0.43,0
0.08,0.636363636363636,0,0.99,0.47,0.99,1,1,0.77,0.77,0.53,0.53,0.35,0.27,0.31,0,0
0,0.922077922077922,0.22,1,0.71,0.94,0.7,0.51,0.61,0,0.42,0.09,0.52,0.32,1,0.2,0
0,0.922077922077922,0.61,1,1,0.77,0.83,0.44,0.58,0.13,0.44,0,0.25,0.29,0.97,0.36,0
0,1,0.73,0.98,1,0.8,0.77,0.44,0.61,0.08,0.36,0,0.03,0.27,0.78,0.3,0
0,0.74025974025974,0.44,1,0.74,0.7,0.52,0.33,0.2,0,0.05,0.3,0.45,0.41,1,0.41,0
0,0.896103896103896,0.68,1,0.89,0.81,0.74,0.4,0.61,0,0.35,0.13,0.2,0.42,1,0.5,0
0.09,0.883116883116883,0.45,1,0.58,0.61,0.49,0.18,0.31,0,0,0.35,0.46,0.47,1,0.46,0
0,0.961038961038961,0.61,1,1,0.81,0.88,0.5,0.69,0.2,0.51,0,0.3,0.3,0.9,0.36,0
0.04,0.857142857142857,0,0.73,0.23,0.99,0.87,1,1,0.88,0.79,0.59,0.59,0.29,0.44,0,0
0,1,0.2,0.98,0.78,0.98,1,0.92,0.61,0.72,0.33,0.48,0.15,0.22,0.25,0,0
0.14,0.779220779220779,0.51,1,1,0.84,0.54,0.5,0.16,0.15,0,0,0.11,0.34,0.92,0.38,0
0,0.948051948051948,0.45,1,0.56,0.68,0.51,0.33,0.48,0,0.29,0.32,0.5,0.5,1,0.52,0
0,0.792207792207792,0.4,1,0.76,0.71,0.65,0.33,0.32,0,0.05,0.28,0.42,0.44,1,0.46,0
0,0.766233766233766,0.33,1,0.77,0.89,0.87,0.57,0.72,0.25,0.53,0,0.51,0.27,1,0.24,0
0,0.831168831168831,0.4,1,1,0.98,0.89,0.6,0.78,0.21,0.62,0,0.25,0.31,0.61,0.45,0
0,0.883116883116883,0.52,1,0.92,0.84,0.73,0.43,0.62,0,0.42,0,0.45,0.23,1,0.28,0
0.09,0.896103896103896,0,0.96,0.47,1,0.93,0.96,1,0.71,0.76,0.47,0.51,0.23,0.27,0,0
0,0.948051948051948,0.47,0.95,1,1,0.71,0.73,0.52,0.37,0.41,0,0.26,0.2,0.52,0.33,0
0,0.896103896103896,0.38,1,0.8,0.86,0.66,0.44,0.6,0,0.45,0.04,0.53,0.31,1,0.29,0
0.23,0.857142857142857,0.59,1,0.75,0.68,0.58,0.33,0.36,0,0,0.18,0.48,0.27,1,0.32,0
0,1,0.53,0.95,0.8,0.66,0.69,0.3,0.66,0,1,0.3,0.61,0.36,0.07,0.39,0
0,0.974025974025974,0.45,1,0.7,0.95,0.57,0.48,0.55,0,0.23,0.25,0.5,0.34,1,0.38,0
0,0.493506493506494,0,0.85,0.39,0.99,1,1,0.79,0.76,0.57,0.51,0.38,0.25,0.33,0,0
0,0.935064935064935,0.48,1,0.89,0.8,0.78,0.38,0.51,0,0.27,0.21,0.51,0.39,1,0.31,0
0,1,0.6,0.99,0.68,0.68,0.59,0.34,0.54,0,1,0.15,0.68,0.35,0.08,0.44,0
0.08,0.545454545454545,0,0.92,0.47,0.97,1,1,0.75,0.77,0.53,0.52,0.37,0.25,0.41,0,0
0,1,0.65,0.99,0.7,0.66,0.51,0.33,0.32,0,0.15,0.12,0.29,0.39,1,0.44,0
0,0.623376623376623,0.07,0.96,0.53,1,1,0.94,0.78,0.7,0.52,0.47,0.29,0.24,0.14,0,0
0,0.753246753246753,0.51,1,0.96,0.81,0.89,0.4,0.67,0,0.37,0.17,0.41,0.5,1,0.53,0
0,0.831168831168831,0.47,1,0.96,0.94,1,0.57,0.77,0.22,0.49,0,0.26,0.29,0.76,0.37,0
0,0.818181818181818,0.44,1,0.85,0.86,0.62,0.42,0.34,0,0.21,0.04,0.45,0.38,1,0.43,0
0.03,0.974025974025974,0.51,1,0.66,0.63,0.59,0.22,0.38,0,0,0.25,0.49,0.34,1,0.38,0
0,0.896103896103896,0.52,1,0.98,0.83,1,0.48,0.85,0.13,0.59,0,0.44,0.17,0.99,0.18,0
0,0.974025974025974,0.42,1,0.73,0.7,0.6,0.31,0.35,0,0.05,0.27,0.52,0.32,1,0.24,0
0,1,0.66,0.98,0.55,0.65,0.24,0.33,0.14,0,0.75,0.25,1,0.47,0.13,0.48,0
0,0.909090909090909,0.57,1,1,0.84,0.89,0.45,0.82,0.05,0.63,0,0.39,0.26,1,0.35,0
0,0.922077922077922,0.08,0.99,0.55,1,0.95,0.89,1,0.65,0.82,0.41,0.55,0.2,0.26,0,0
0.24,1,1,0.99,0.93,0.78,0.64,0.48,0.39,0.17,0.19,0,0,0.31,0.72,0.38,0
0,0.948051948051948,0.5,1,1,0.94,0.95,0.6,0.7,0.27,0.55,0,0.3,0.25,0.82,0.23,0
0,0.896103896103896,0.33,0.99,0.84,1,1,0.92,0.67,0.71,0.45,0.47,0.3,0.21,0.27,0,0
0,1,0.34,0.96,0.56,0.64,0.56,0.23,0.4,0,0.29,0.32,0.64,0.35,1,0.34,0
0,0.935064935064935,0.38,1,0.78,0.8,0.63,0.4,0.49,0,0.24,0.14,0.46,0.34,1,0.36,0
0.32,0.935064935064935,0.89,1,1,0.8,0.64,0.41,0.47,0.01,0.31,0,0,0.36,0.91,0.37,0
0,0.857142857142857,0.51,1,1,0.94,0.82,0.57,0.64,0.2,0.38,0,0.38,0.39,0.9,0.48,0
0,0.753246753246753,0.35,0.92,1,1,0.95,0.7,0.73,0.32,0.67,0,0.34,0.2,0.96,0.31,0
0.15,0.727272727272727,0,0.65,0.17,1,0.71,0.99,1,0.96,0.77,0.6,0.58,0.24,0.47,0,0
0,0.909090909090909,0.58,1,0.97,0.74,0.73,0.41,0.41,0.09,0.27,0,0.19,0.27,1,0.33,0
0.03,0.623376623376623,0,0.95,0.45,1,1,0.99,0.79,0.78,0.48,0.53,0.31,0.24,0.54,0,0
0.01,0.896103896103896,0.71,1,1,0.72,0.66,0.35,0.27,0,0.76,0.28,0.72,0.52,0,0.56,0
0.16,0.857142857142857,0,0.68,0.28,0.92,0.95,1,1,0.89,0.83,0.58,0.68,0.27,0.65,0,0
0.28,0.545454545454545,0.41,1,0.63,0.64,0.55,0.21,0.31,0,0,0.33,0.5,0.45,1,0.58,0
0.36,1,0.65,0.9,0.66,0.59,0.48,0.28,0.25,0,0,0.28,0.47,0.36,1,0.37,0
0,0.883116883116883,0.44,1,0.8,0.78,0.75,0.38,0.58,0,0.48,0.09,0.52,0.4,1,0.4,0
0,0.922077922077922,0.32,1,0.77,0.98,1,0.81,0.83,0.6,0.6,0.4,0.38,0.2,0.22,0,0
0,0.74025974025974,0.47,1,1,0.99,0.82,0.6,0.5,0.25,0.23,0,0.33,0.36,0.89,0.44,0
0.15,0.922077922077922,0.58,1,1,0.7,0.71,0.34,0.31,0,0.14,0.3,0,0.57,0.91,0.57,0
0,0.974025974025974,0.55,0.98,1,1,0.72,0.63,0.52,0.23,0.4,0,0.31,0.35,0.86,0.4,0
0,0.909090909090909,0.59,1,0.89,0.71,0.72,0.35,0.48,0,0.22,0.24,0.35,0.48,1,0.51,0
0,0.896103896103896,0.35,1,0.8,0.99,0.7,0.53,0.55,0,0.35,0.13,0.56,0.31,1,0.32,0
0,0.909090909090909,0.41,1,0.57,0.65,0.47,0.26,0.21,0,0.02,0.35,0.51,0.38,1,0.36,0
0.02,0.922077922077922,0.93,1,1,0.78,0.86,0.39,0.74,0,0.37,0.1,0,0.43,1,0.43,0
0,1,0.16,0.91,0.69,0.94,1,0.9,0.65,0.7,0.45,0.45,0.31,0.18,0.2,0,0
0,0.753246753246753,0.34,1,0.62,0.73,0.54,0.36,0.39,0,0.12,0.16,0.5,0.27,1,0.3,0
0.12,1,0.49,1,0.65,0.68,0.49,0.33,0.27,0,0,0.19,0.44,0.29,1,0.31,0
0,0.948051948051948,0.31,1,0.81,0.93,0.76,0.48,0.56,0.01,0.44,0,0.49,0.32,1,0.35,0
0,0.896103896103896,0.39,0.99,1,1,0.82,0.66,0.5,0.33,0.17,0,0.19,0.17,0.65,0.3,0
0.17,1,0.79,0.92,1,0.76,0.72,0.44,0.49,0.1,0.24,0,0,0.31,0.71,0.33,0
0,0.792207792207792,0.03,0.73,0.3,0.98,1,1,0.9,0.79,0.73,0.48,0.61,0.16,0.59,0,0
0,0.818181818181818,0.26,1,0.7,0.84,0.77,0.45,0.68,0.05,0.54,0,0.5,0.25,1,0.23,0
0.17,0.974025974025974,0.8,1,1,0.67,0.67,0.33,0.26,0,0,0.07,0,0.23,0.89,0.19,0
0,0.909090909090909,0.44,1,0.9,0.91,0.76,0.48,0.64,0.04,0.49,0,0.52,0.3,1,0.29,0
0.22,0.909090909090909,0,0.95,0.5,0.97,1,1,0.67,0.81,0.43,0.56,0.28,0.28,0.3,0,0
0,0.883116883116883,0,0.97,0.52,1,1,0.93,1,0.69,0.78,0.47,0.58,0.24,0.44,0,0
0,1,0.53,0.97,0.91,0.69,0.72,0.29,0.31,0,0.05,0.35,0.46,0.49,1,0.41,0
0.11,0.805194805194805,0,0.7,0.26,0.96,0.92,1,1,0.87,0.81,0.55,0.65,0.21,0.6,0,0
0,0.844155844155844,0.37,1,0.85,0.9,0.63,0.46,0.48,0,0.27,0.18,0.45,0.37,1,0.38,0
