"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","label"
0.13,0.797872340425532,0.31,1,0.69,0.82,0.61,0.52,0.32,0.317073170731707,0,0.02,0.47,0,1,0.02,0
0.17,0.819148936170213,0.57,1,0.87,0.83,0.61,0.58,0.27,0.439024390243902,0,0.13,0.51,0.08,1,0,0
0.24,0.797872340425532,0.57,1,0.85,0.76,0.59,0.47,0.82,0.5,1,0.15,0.53,0,0,0.05,0
0,0.765957446808511,0.37,1,0.62,0.89,0.51,0.6,0.98,0.548780487804878,1,0.13,0.53,0,0.1,0.14,0
0.11,0.861702127659574,0.46,1,0.74,0.88,0.55,0.61,1,0.597560975609756,0.89,0.21,0.5,0.02,0,0,0
0,0.872340425531915,0.4,1,0.59,0.69,0.36,0.36,0,0.134146341463415,0.09,0.13,0.57,0.15,1,0,0
0.5,0.574468085106383,0.47,1,0.92,0.95,0.88,0.47,0.48,0.182926829268293,0,0,0.49,0.05,1,0.03,0
0.21,0.829787234042553,0.41,1,0.77,0.79,0.34,0.53,0.8,0.658536585365854,1,0.21,0.52,0,0,0.14,0
0.01,0.808510638297872,0.42,1,0.64,0.79,0.42,0.61,0.96,0.597560975609756,1,0.17,0.48,0,0,0.13,0
0.01,0.638297872340426,0.28,0.93,0.81,1,0.72,0.75,0.82,0.524390243902439,1,0.12,0.54,0,0,0.02,0
0.29,0.797872340425532,0.59,1,1,0.95,0.7,0.68,0.72,0.536585365853659,0.91,0.21,0.49,0.04,0,0,0
0.29,0.819148936170213,0.61,1,1,0.97,0.79,0.75,0.58,0.597560975609756,0.61,0.19,0.38,0,0,0.05,0
0,0.659574468085106,0.34,1,0.74,0.88,0.56,0.4,0.17,0.121951219512195,0.1,0.23,0.55,0.12,1,0,0
0,0.787234042553192,0.35,1,0.69,0.78,0.49,0.41,0.1,0.182926829268293,0.05,0.27,0.53,0.15,1,0,0
0.32,0.606382978723404,0.52,1,0.86,0.69,0.7,0.24,0.24,0,0,0.04,0.53,0.02,1,0.01,0
0.28,0.702127659574468,0.6,1,0.88,0.73,0.56,0.37,0.09,0.170731707317073,0,0.14,0.52,0,1,0.05,0
0,0.776595744680851,0.34,1,0.64,0.87,0.57,0.59,1,0.585365853658537,0.92,0.16,0.5,0,0.09,0.11,0
0.23,0.829787234042553,0.56,1,1,0.93,0.8,0.73,0.68,0.621951219512195,0.76,0.28,0.42,0.12,0,0,0
0.29,0.638297872340426,0.53,1,0.92,0.91,0.81,0.52,0.5,0.219512195121951,0,0,0.42,0.06,1,0.06,0
0,0.819148936170213,0.22,1,0.38,0.7,0.27,0.3,0.14,0,0.42,0.01,0.71,0.02,1,0.05,0
0,0.74468085106383,0.31,1,0.67,0.82,0.47,0.44,0.13,0.158536585365854,0.05,0.01,0.52,0.04,1,0,0
0.48,0.851063829787234,0.64,1,0.94,0.8,0.58,0.54,1,0.634146341463415,0.87,0.19,0.43,0,0,0.07,0
0.39,0.74468085106383,0.64,1,0.89,0.81,0.66,0.5,1,0.414634146341463,0.91,0.06,0.41,0,0,0.18,0
0.18,0.914893617021277,0.66,1,0.93,0.81,0.49,0.56,0,0.426829268292683,0.14,0.16,0.75,0.1,1,0,0
0.26,0.787234042553192,0.5,1,1,0.95,0.58,0.72,0.5,0.573170731707317,0.9,0.2,0.53,0,0,0.05,0
0.04,0.925531914893617,0.5,1,0.82,0.79,0.49,0.5,0.7,0.548780487804878,1,0.19,0.56,0,0,0.1,0
0.32,0.893617021276596,0.65,1,1,0.9,0.75,0.71,0.59,0.609756097560976,0.68,0.27,0.39,0.1,0,0,0
0.38,0.648936170212766,0.44,1,0.85,0.96,0.71,0.58,0.4,0.292682926829268,0,0.07,0.43,0.17,1,0,0
0.05,0.659574468085106,0.45,1,0.87,0.83,0.55,0.45,0.1,0.158536585365854,0,0.12,0.57,0,1,0.09,0
0.42,0.808510638297872,0.8,1,1,0.82,0.7,0.58,0.32,0.451219512195122,0,0.14,0.39,0,1,0.01,0
0.33,0.787234042553192,0.67,1,1,0.76,0.8,0.38,0.42,0.146341463414634,0,0.06,0.42,0.19,0.87,0,0
0.23,0.606382978723404,0.42,1,0.63,0.65,0.39,0.22,0,0,0.13,0.2,0.56,0.18,1,0.21,0
0.27,0.851063829787234,0.5,1,1,0.95,0.64,0.72,0.5,0.573170731707317,0.8,0.21,0.53,0,0,0.03,0
0.45,0.840425531914894,0.79,1,0.89,0.78,0.65,0.54,1,0.402439024390244,0.97,0.08,0.46,0,0,0.1,0
0,0.627659574468085,0.16,0.93,0.49,1,0.65,0.77,0.48,0.548780487804878,0.36,0.11,0.66,0,1,0.01,0
0.55,0.808510638297872,0.95,1,0.98,0.83,0.64,0.62,0.91,0.463414634146341,1,0.13,0.49,0,0,0.08,0
0.04,0.712765957446808,0.44,1,0.83,0.81,0.55,0.43,0.12,0.182926829268293,0,0.22,0.52,0.2,1,0,0
0.29,0.712765957446808,0.57,1,0.97,0.87,0.81,0.51,0.45,0.292682926829268,0,0.03,0.45,0.02,1,0,0
0.75,0.787234042553192,0.93,1,1,0.81,0.8,0.59,0.66,0.426829268292683,0.66,0.09,0.34,0,0,0.04,0
0,0.872340425531915,0.36,1,0.7,0.87,0.68,0.61,0.7,0.414634146341463,1,0.15,0.64,0.01,0.17,0,0
0.15,0.893617021276596,0.59,1,0.71,0.74,0.5,0.55,0.99,0.51219512195122,1,0.13,0.53,0,0,0.1,0
0,0.925531914893617,0.49,1,0.88,0.89,0.78,0.68,0.57,0.597560975609756,0.41,0.28,0.51,0.09,1,0,0
0,0.680851063829787,0.33,1,0.83,0.97,0.78,0.59,0.44,0.317073170731707,0.02,0,0.42,0.01,1,0.02,0
0.34,0.787234042553192,0.65,1,1,0.8,0.8,0.51,0.41,0.341463414634146,0,0.07,0.37,0,0.95,0.05,0
0.15,0.712765957446808,0.41,1,0.87,0.93,0.6,0.64,0.99,0.524390243902439,1,0.08,0.5,0,0,0.11,0
0,0.925531914893617,0.52,1,0.94,0.87,0.8,0.63,0.53,0.51219512195122,0.23,0.2,0.42,0.03,1,0,0
0,0.787234042553192,0.31,1,0.7,0.9,0.53,0.62,0.27,0.451219512195122,0.07,0.1,0.48,0,1,0.01,0
0,0.776595744680851,0.25,1,0.35,0.66,0.22,0.3,0.03,0,0.35,0.01,0.67,0.04,1,0.11,0
